"","plot","tag","spp","date","year","jday","dend","refdend","refdbh","refcheck","dend.num","dend.meas","DBH"
"1","A3",51,"ro","1999-08-25",1999,237,25.4,NA,NA,FALSE,1,35.4,NA
"2","D5",658,"rm","1999-08-25",1999,237,17.6,NA,NA,FALSE,1,27.6,NA
"3","A1",1,"yb","2000-04-03",2000,94,32.02,NA,NA,TRUE,1,32.02,14.2
"4","A1",6,"rm","2000-04-03",2000,94,55.31,NA,NA,TRUE,2,55.31,34
"5","A1",6,"rm","2000-04-03",2000,94,55.31,NA,NA,TRUE,2,55.31,34
"6","A1",8,"yb","2000-04-03",2000,94,28.67,NA,NA,TRUE,1,28.67,23.5
"7","A2",30,"rm","2000-04-03",2000,94,23.88,NA,NA,TRUE,1,23.88,27.1
"8","A3",52,"beech","2000-04-03",2000,94,13.65,NA,NA,TRUE,1,13.65,13.6
"9","A3",54,"ro","2000-04-03",2000,94,31.47,NA,NA,TRUE,1,31.47,34
"10","A3",58,"ro","2000-04-03",2000,94,26.71,NA,NA,TRUE,1,26.71,39.4
"11","A3",64,"yb","2000-04-03",2000,94,3.14,NA,NA,TRUE,1,3.14,13.8
"12","A3",65,"yb","2000-04-03",2000,94,7.64,NA,NA,TRUE,1,7.64,15.08
"13","A3",67,"rm","2000-04-03",2000,94,12.65,NA,NA,TRUE,1,12.65,12.29
"14","B1",155,"ro","2000-04-03",2000,94,44.48,NA,NA,TRUE,1,44.48,48.1
"15","B2",180,"rm","2000-04-03",2000,94,18.12,NA,NA,TRUE,1,18.12,24.4
"16","B2",184,"rm","2000-04-03",2000,94,12.5,NA,NA,TRUE,1,12.5,9.69
"17","B2",194,"rm","2000-04-03",2000,94,30.7,NA,NA,TRUE,1,30.7,20.33
"18","B3",209,"ro","2000-04-03",2000,94,24.5,NA,NA,TRUE,1,24.5,21.4
"19","B3",211,"rm","2000-04-03",2000,94,19.39,NA,NA,TRUE,1,19.39,17.04
"20","B3",215,"rm","2000-04-03",2000,94,63.76,NA,NA,TRUE,1,63.76,18.2
"21","B3",223,"ro","2000-04-03",2000,94,29.82,NA,NA,TRUE,1,29.82,42.49
"22","B3",226,"ro","2000-04-03",2000,94,21.04,NA,NA,TRUE,1,21.04,22.6
"23","B3",229,"rm","2000-04-03",2000,94,10.34,NA,NA,TRUE,1,10.34,15.69
"24","B4",256,"rm","2000-04-03",2000,94,12.36,NA,NA,TRUE,1,12.36,14.49
"25","B4",259,"rm","2000-04-03",2000,94,44.43,NA,NA,TRUE,1,44.43,13
"26","B4",262,"ro","2000-04-03",2000,94,31.68,NA,NA,TRUE,1,31.68,23.76
"27","B4",263,"gb","2000-04-03",2000,94,27.58,NA,NA,TRUE,1,27.58,17.21
"28","B4",273,"rm","2000-04-03",2000,94,21.25,NA,NA,TRUE,1,21.25,13.77
"29","C1",351,"hem","2000-04-03",2000,94,29.93,NA,NA,TRUE,1,29.93,20.7
"30","C1",352,"ro","2000-04-03",2000,94,18.33,NA,NA,TRUE,1,18.33,43.4
"31","C1",354,"rm","2000-04-03",2000,94,29.07,NA,NA,TRUE,1,29.07,23.8
"32","C2",377,"rm","2000-04-03",2000,94,11.56,NA,NA,TRUE,1,11.56,10.43
"33","C2",386,"ro","2000-04-03",2000,94,27.04,NA,NA,TRUE,1,27.04,38.38
"34","C3",411,"rm","2000-04-03",2000,94,21.41,NA,NA,TRUE,1,21.41,23.48
"35","C3",412,"rm","2000-04-03",2000,94,20.61,NA,NA,TRUE,1,20.61,20.19
"36","C3",413,"rm","2000-04-03",2000,94,21.03,NA,NA,TRUE,1,21.03,22.4
"37","C3",416,"rm","2000-04-03",2000,94,33.8,NA,NA,TRUE,1,33.8,29.7
"38","C3",417,"rm","2000-04-03",2000,94,10.62,NA,NA,TRUE,1,10.62,17.32
"39","C3",421,"ash","2000-04-03",2000,94,39.01,NA,NA,TRUE,1,39.01,39.45
"40","C3",423,"rm","2000-04-03",2000,94,10.94,NA,NA,TRUE,1,10.94,24
"41","C3",425,"ash","2000-04-03",2000,94,17.6,NA,NA,TRUE,1,17.6,15.54
"42","C4",475,"rm","2000-04-03",2000,94,9.97,NA,NA,TRUE,1,9.97,9.69
"43","C4",481,"ws","2000-04-03",2000,94,4.95,NA,NA,TRUE,1,4.95,16.2
"44","C4",492,"ws","2000-04-03",2000,94,12.81,NA,NA,TRUE,1,12.81,17.79
"45","C5",504,"ro","2000-04-03",2000,94,11.95,NA,NA,TRUE,1,11.95,15.85
"46","C5",513,"ro","2000-04-03",2000,94,37.91,NA,NA,TRUE,1,37.91,26.02
"47","C5",518,"yb","2000-04-03",2000,94,5.07,NA,NA,TRUE,1,5.07,11.8
"48","D1",527,"rm","2000-04-03",2000,94,14.51,NA,NA,TRUE,1,14.51,11.41
"49","D1",532,"ro","2000-04-03",2000,94,48.72,NA,NA,TRUE,1,48.72,35.9
"50","D1",537,"rm","2000-04-03",2000,94,10.73,NA,NA,TRUE,1,10.73,9.7
"51","D1",545,"rm","2000-04-03",2000,94,20.77,NA,NA,TRUE,1,20.77,13.5
"52","D1",546,"ro","2000-04-03",2000,94,22.42,NA,NA,TRUE,1,22.42,45.3
"53","D1",550,"wp","2000-04-03",2000,94,7.83,NA,NA,TRUE,1,7.83,19.2
"54","D2",579,"yb","2000-04-03",2000,94,20.14,NA,NA,TRUE,1,20.14,10.55
"55","D3",607,"rm","2000-04-03",2000,94,11.59,NA,NA,TRUE,1,11.59,13.6
"56","D3",611,"rm","2000-04-03",2000,94,25.13,NA,NA,TRUE,1,25.13,16.83
"57","D3",615,"ro","2000-04-03",2000,94,32.51,NA,NA,TRUE,1,32.51,19.72
"58","D4",642,"sm","2000-04-03",2000,94,22.72,NA,NA,TRUE,1,22.72,13.78
